iter	Passed	Remaining
550	2044	1665
551	2045	1660
552	2047	1654
553	2049	1649
554	2050	1644
555	2052	1639
556	2054	1633
557	2056	1628
558	2057	1623
559	2059	1618
560	2060	1612
561	2062	1607
562	2064	1602
563	2065	1597
564	2067	1591
565	2069	1586
566	2070	1581
567	2072	1576
568	2074	1571
569	2075	1566
570	2078	1561
571	2080	1556
572	2082	1551
573	2084	1546
574	2085	1541
575	2087	1536
576	2089	1531
577	2091	1526
578	2092	1521
579	2094	1516
580	2096	1511
581	2097	1506
582	2099	1501
583	2101	1496
584	2103	1491
585	2104	1486
586	2106	1482
587	2108	1477
588	2109	1472
589	2111	1467
590	2113	1462
591	2114	1457
592	2116	1452
593	2118	1447
594	2119	1442
595	2121	1438
596	2123	1433
597	2124	1428
598	2126	1423
599	2127	1418
600	2129	1413
601	2131	1408
602	2132	1404
603	2134	1399
604	2136	1394
605	2137	1389
606	2139	1385
607	2140	1380
608	2142	1375
609	2144	1370
610	2145	1366
611	2147	1361
612	2149	1357
613	2151	1352
614	2153	1348
615	2154	1343
616	2156	1338
617	2158	1334
618	2159	1329
619	2161	1324
620	2163	1320
621	2164	1315
622	2166	1311
623	2168	1306
624	2169	1301
625	2171	1297
626	2172	1292
627	2174	1287
628	2175	1283
629	2177	1278
630	2179	1274
631	2180	1269
632	2182	1265
633	2183	1260
634	2185	1256
635	2186	1251
636	2188	1247
637	2190	1243
638	2192	1238
639	2194	1234
640	2195	1229
641	2197	1225
642	2198	1220
643	2200	1216
644	2201	1211
645	2203	1207
646	2205	1203
647	2207	1198
648	2208	1194
649	2210	1190
650	2212	1186
651	2214	1181
652	2215	1177
653	2217	1173
654	2219	1168
655	2220	1164
656	2223	1160
657	2225	1156
658	2226	1152
659	2228	1147
660	2229	1143
661	2231	1139
662	2233	1135
663	2234	1130
664	2236	1126
665	2238	1122
666	2239	1118
667	2241	1113
668	2243	1109
669	2244	1105
670	2246	1101
671	2248	1097
672	2249	1093
673	2251	1089
674	2253	1084
675	2254	1080
676	2256	1076
677	2257	1072
678	2259	1068
679	2261	1064
680	2263	1060
681	2264	1056
682	2266	1051
683	2268	1047
684	2269	1043
685	2271	1039
686	2272	1035
687	2274	1031
688	2276	1027
689	2277	1023
690	2279	1019
691	2281	1015
692	2282	1011
693	2284	1007
694	2286	1003
695	2287	999
696	2289	995
697	2291	991
698	2292	987
699	2294	983
700	2296	979
701	2297	975
702	2299	971
703	2301	967
704	2302	963
705	2303	959
706	2305	955
707	2306	951
708	2308	947
709	2310	943
710	2311	939
711	2313	935
712	2315	931
713	2316	927
714	2319	924
715	2320	920
716	2322	916
717	2323	912
718	2325	908
719	2327	905
720	2328	901
721	2330	897
722	2332	893
723	2333	889
724	2335	885
725	2337	882
726	2338	878
727	2340	874
728	2342	870
729	2343	866
730	2345	863
731	2347	859
732	2349	855
733	2350	851
734	2352	848
735	2354	844
736	2355	840
737	2357	836
738	2358	833
739	2360	829
740	2362	825
741	2363	821
742	2365	818
743	2367	814
744	2369	810
745	2370	807
746	2372	803
747	2374	799
748	2376	796
749	2377	792
750	2379	788
751	2381	785
752	2383	781
753	2384	778
754	2386	774
755	2388	770
756	2390	767
757	2391	763
758	2393	760
759	2395	756
760	2397	752
761	2398	749
762	2400	745
763	2402	742
764	2404	738
765	2406	734
766	2407	731
767	2409	727
768	2412	724
769	2414	721
770	2415	717
771	2417	714
772	2419	710
773	2421	706
774	2423	703
775	2424	699
776	2426	696
777	2428	692
778	2430	689
779	2432	685
780	2433	682
781	2435	679
782	2438	675
783	2439	672
784	2442	668
785	2444	665
786	2446	662
787	2448	658
788	2450	655
789	2452	651
790	2454	648
791	2456	645
792	2458	641
793	2460	638
794	2461	634
795	2463	631
796	2466	628
797	2467	624
798	2469	621
799	2470	617
800	2472	614
801	2474	610
802	2475	607
803	2477	603
804	2478	600
805	2481	597
806	2482	593
807	2484	590
808	2485	586
809	2487	583
810	2488	580
811	2490	576
812	2492	573
813	2495	570
814	2496	566
815	2498	563
816	2500	560
817	2501	556
818	2503	553
819	2505	549
820	2506	546
821	2508	543
822	2510	539
823	2512	536
824	2513	533
825	2515	529
826	2516	526
827	2518	523
828	2520	519
829	2522	516
830	2524	513
831	2525	510
832	2527	506
833	2529	503
834	2530	500
835	2532	496
836	2534	493
837	2535	490
838	2537	486
839	2539	483
840	2541	480
841	2542	477
842	2544	473
843	2546	470
844	2547	467
845	2549	464
846	2551	460
847	2553	457
848	2554	454
849	2556	451
850	2558	447
851	2559	444
852	2561	441
853	2563	438
854	2565	435
855	2566	431
856	2568	428
857	2570	425
858	2571	422
859	2573	418
860	2574	415
